등록일자	현재상태	최종주무부처(주무부처이름(상세)	등록번호	자격명	등급명	신청기관	자격개요	등급별직무내용	공인여부	등급공인여부
2008-12-30	등록완료	금융위원회	"""2008-0439"	여신심사역	등급없음	(사)한국금융연수원	"고객에게 돈을 빌려주는 것을 여신이라 하며, 여신업무는 금융기관의 업무 중 중요한 부분을 차지하고 있다. 고객의 재정상황과 법률에 따른 제반사항, 다양한 조건 등을 심사해야만 여신거래가 성사될 수 있는데, 이러한 심사업무를 담당할 인력을 평가하는 자격이 바로 여신심사역(CLO:Certified Loan Officer)이다.여신심사역은 여신거래의 리스크 분석과 채무상환능력의 검토, 기업가치 평가 등 여신과 관련된 전문지식은 물론, 여신 사후관리를 위한 제반 법률적인 지식 등 여신 전반에 대한 실무처리 능력을 검정한다."	"[등급없음]여신거래의 리스크 분석, 기업가치 평가 및 채무상환능력의 검토 등을 통해 여신 대상 기업에 대한 자금의 효율적 운용 및 부실 대출 방지 등 여신전반에 대한 실무처리 "	공인	Y
2008-07-28	등록완료	교육부	"""2008-0219"	FLEX일본어(듣기/읽기)	"1A급,1B급,1C급,2A급,2B급,2C급,3A급,3B급,3C급"	한국외국어대학교	"교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사"	"[1A급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[1B급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[1C급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[2A급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[2B급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[2C급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[3A급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[3B급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[3C급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사"	공인	Y
2008-07-28	등록완료	교육부	"""2008-0220"	FLEX중국어(듣기/읽기)	"1A급,1B급,1C급,2A급,2B급,2C급,3A급,3B급,3C급"	한국외국어대학교	"교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사"	"[1A급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[1B급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[1C급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[2A급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의[2B급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[2C급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[3A급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[3B급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[3C급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사"	공인	Y
2008-07-28	등록완료	교육부	"""2008-0237"	FLEX러시아(듣기/읽기)	"1A급,1B급,1C급,2A급,2B급,2C급,3A급,3B급,3C급"	한국외국어대학교	"교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사"	"[1A급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[1B급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[1C급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[2A급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[2B급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[2C급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[3A급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[3B급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[3C급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사"	공인	Y
2008-07-28	등록완료	교육부	"""2008-0238"	FLEX영어(듣기/읽기)	"1A급,1B급,1C급,2A급,2B급,2C급,3A급,3B급,3C급"	한국외국어대학교	"교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사"	"[1A급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[1B급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[1C급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[2A급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의[2B급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[2C급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[3A급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[3B급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[3C급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사"	공인	Y
2008-07-28	등록완료	교육부	"""2008-0239"	FLEX스페인어(듣기/읽기)	"1A급,1B급,1C급,2A급,2B급,2C급,3A급,3B급,3C급"	한국외국어대학교	"교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사"	"[1A급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[1B급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[1C급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[2A급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[2B급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[2C급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[3A급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[3B급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[3C급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사"	공인	Y
2008-07-28	등록완료	교육부	"""2008-0240"	FLEX독일어(듣기/읽기)	"1A급,1B급,1C급,2A급,2B급,2C급,3A급,3B급,3C급"	한국외국어대학교	"교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사"	"[1A급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[1B급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[1C급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[2A급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[2B급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[2C급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[3A급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[3B급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[3C급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사"	공인	Y
2008-07-28	등록완료	교육부	"""2008-0241"	FLEX프랑스어(듣기/읽기)	"1A급,1B급,1C급,2A급,2B급,2C급,3A급,3B급,3C급"	한국외국어대학교	"교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사"	"[1A급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[1B급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[1C급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[2A급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[2B급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[2C급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[3A급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[3B급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[3C급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사"	공인	Y
2008-07-28	등록완료	산업통상자원부	"""2008-0218"	무역영어	"1급,2급,3급"	대한상공회의소	"국경없는 무한경쟁 시대에서 대외 교역 확대를 위해서는 무역에 관한 전문지식이 필수적임. 주요 직무내용은 무역관련 영문 서류의 작성, 번역 등의 업무를 수행함"	"[1급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[2급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사[3급]교양있는 원어민 수준의 듣기/읽기 자유로이 구사, 원어민과 의사소통에 어려움이 없을 정도의 듣기/읽기 구사"	공인	Y
2008-07-28	등록완료	금융위원회	"""2008-0106"	재경관리사	없음	삼일회계법인	"규모가 작은 회사라 하더라도 세금이나 재무제표, 원가관리 등의 회계분야는 복잡할 수 밖에 없다. 재경관리사 자격은 재무회계, 세무회계, 원가관리회계에 대한 종합적인 회계지식과 실무능력을 평가한다. 결산, 재무제표 작성, 분석 등 재무회계 및 경리업무 전반에 관한 실무와 과세표준, 세액계산, 세무신고와 납부, 연말전산실무 등 세무회계실무 및 원가관리회계 실무 등 재경전반의 이론과 실무능력을 검정, 기업의 종합적인 관리책임자 역할을 수행할 수 있는지를 평가한다."	[없음]회계의 종합적인 지식과 실무능력을 겸비한 재경 전문가로서 기업의 회계책임자의 회계업무 수행 능력을 검정	공인	Y
