등록일자	현재상태	최종주무부처(주무부처이름(상세)	등록번호	자격명	등급명	신청기관	자격개요	등급별직무내용	공인여부	등급공인여부
2008-12-30	등록완료	산업통상자원부	"""2008-0587"	산업보안관리사	등급없음	(사)한국산업기술보호협회	"기업 또는 단체의 비밀유출과 침해에 대한 보호방안을 강구하고 영업비밀은 물론 유.무형 재산 보호, 관리, 감독하는 보안전문가로서의 능력을 검정"	"[등급없음]산업기술을 보유한 기업 및 기관에서 보안요구사항을 분석하고, 보안취약점 점검, 보안사고대응, 보안정보제공 및 상담서비스 등을 수행하는 직무임. 기업 및 공공기관의 지식 정보보호, 인원 시설보안 업무와 관련된 부서에서 활동할 수 있으며, 보안컨설팅 회사에 취업하여 컨설턴트로 활동 또는 1인 컨설팅회사를 창업하여 보안관련 직무를 수행"	공인	Y
2008-07-28	등록완료	과학기술정보통신부	"""2008-0196"	ERP물류정보관리사	"1급,2급"	한국생산성본부	"기업의 ERP 물류부문 담당자로서 활동할 수 있으며 기업내 ERP시스템 개발지원 및 관리, 유지보수 등의 업무를 수행한다.기업의 ERP 시스템 물류부문의 업무를 수행하는 운용요원으로 물류업무 프로세스에 따라 관련 작업을 수행한다."	"[1급]기업의 ERP 물류부문 담당자로서 활동할 수 있으며 기업 내 ERP시스템 개발지원 및 관리, 유지보수 등의 업무를 수행한다.[2급]기업의 ERP 시스템 물류 부문의 업무를 수행하는 운용요원으로 물류업무 프로세스에 따라 관련 작업을 수행한다."	공인	Y
2008-07-28	등록완료	과학기술정보통신부	"""2008-0195"	ERP생산정보관리사	"1급,2급"	한국생산성본부	"기업의 ERP 생산부문 담당자로서 활동할 수 있으며 기업내 ERP시스템 개발지원 및 관리, 유지보수 등의 업무를 수행한다.기업의 ERP 시스템 생산부문의 업무를 수행하는 운용요원으로 생산업무 프로세스에 따라 관련 작업을 수행한다."	"[1급]기업의 ERP 생산부문 담당자로서 활동할 수 있으며 기업내 ERP시스템 개발지원 및 관리, 유지보수 등의 업무를 수행한다.[2급]기업의 ERP 시스템 생산 부문의 업무를 수행하는 운용요원으로 생산업무 프로세스에 따라 관련 작업을 수행한다."	공인	Y
2008-07-28	등록완료	과학기술정보통신부	"""2008-0194"	ERP인사정보관리사	"1급,2급"	한국생산성본부	"기업의 ERP 인사부문 담당자로서 활동할 수 있으며 기업내 ERP시스템 개발지원 및 관리, 유지보수 등의 업무를 수행한다.기업의 ERP 시스템 인사부문의 업무를 수행하는 운용요원으로 인사업무 프로세스에 따라 관련 작업을 수행한다."	"[1급]기업의 ERP 인사부문 담당자로서 활동할 수 있으며 기업내 ERP시스템 개발지원 및 관리, 유지보수 등의 업무를 수행한다.[2급]기업의 ERP 시스템 인사부문의 업무를 수행하는 운용요원으로 인사업무 프로세스에 따라 관련 작업을 수행한다."	공인	Y
2008-07-28	등록완료	과학기술정보통신부	"""2008-0193"	ERP회계정보관리사	"1급,2급"	한국생산성본부	"기업의 ERP 회계부문 담당자로서 활동할 수 있으며 기업내 ERP시스템 개발지원 및 관리, 유지보수 등의 업무를 수행한다. 기업의 ERP 시스템 회계부문의 업무를 수행하는 운용요원으로 회계업무 프로세스에 따라 관련 작업을 수행한다."	"[1급]기업의 ERP 회계부문 담당자로서 활동할 수 있으며 기업내 ERP시스템 개발지원 및 관리, 유지보수 등의 업무를 수행한다.[2급]기업의 ERP 시스템 회계부문의 업무를 수행하는 운용요원으로 회계업무 프로세스에 따라 관련 작업을 수행한다."	공인	Y
2012-12-24	등록완료	기획재정부	"""2012-0732"	청소년경제이해력검증시험 주니어 TESAT(테샛)	"S급,1급,2급,3급"	한국경제신문	기존의 국가공인 경제이해력검증시험은 테샛을 중학생 눈높이에 맞춰 개발한 청소년 경제이해력검증시험입니다청소년으로서 각종 경제 기초정보를 제대로 이해하고 이를 바탕으로 주어진 경제상황에서 합리적인 의사결정을 할 수 있는 능력을 테스트 합니다.경제와 금융분야에서 총 50문항을 출제하며 시험시간은 60분입니다만점은 300점이며 총점을 기준으로 등급을 부여합니다2012년 2월 1회 시험을 치렀으며 3개월마다 연 4회 시험을 치릅니다.특목고 등 고교 입시와 상경계 대학 입이에 성적을 활용할 수 있습니다.	[S급]청소년으로서 경제 생활에 영향을 미치는 경제 기초 정보를 정확하게 이해할 수 있으며 이를 근거로 주어진 경제 상황에서 독자적으로 의사결정을 내릴 수 있음. 경제이해력 탁월[1급]청소년으로서 경제 생활에 영향을 미치는 경제 기초 정보를 대부분 이해할 수 있으며 이를 근거로 주어진 경제 상황에서 독자적으로 의사결정을 내릴 수 있다. 경제이해력 매우 우수. [2급]청소년으로서 경제 생활에 영향을 미치는 경제 기초 정보를 이해할 수 있으며 이를 근거로 주어진 경제 상황에서 의사결정을 내릴 수 있음 경제이해력 우수. [3급]청소년으로서 경제 생활에 영향을 미치는 경제 기초 정보를 이해할 수 있으며 이를 근거로 보호자의 도움을 약간 받는다면 주어진 경제 상황에서 의사결정을 내릴 수 있다 	공인	Y
2008-07-28	등록완료	과학기술정보통신부	"""2008-0191"	정보기술자격(ITQ)	"A급,B급,C급"	한국생산성본부	기초사무분야의 업무 수행시 각 과목별(S/W) 기능 활용을 통한 직무수행	"[A급]문제의 다양성(폭넓은 활용성)으로 자격증을 취득한 사람은 기업, 기관, 단체의 구성원으로서 총무, 기획, 인사, 경리, 재무, 영업, 마케팅 등 회사의 전 부서에서 수행하는 업무에 응용하여 적용.현장에서 필요로 하고 직접 활용할 수 있는 문제의 출제로 문서작성능력, 각종 값의 계산, 프리젠테이션, 데이터베이스, 인터넷 등 정보기술을 활용하여 현업 생산성의 제고를 도모.[B급]문제의 다양성(폭넓은 활용성)으로 자격증을 취득한 사람은 기업, 기관, 단체의 구성원으로서 총무, 기획, 인사, 경리, 재무, 영업, 마케팅 등 회사의 전 부서에서 수행하는 업무에 응용하여 적용.현장에서 필요로 하고 직접 활용할 수 있는 문제의 출제로 문서작성능력, 각종 값의 계산, 프리젠테이션, 데이터베이스, 인터넷 등 정보기술을 활용하여 현업 생산성의 제고를 도모.[C급]문제의 다양성(폭넓은 활용성)으로 자격증을 취득한 사람은 기업, 기관, 단체의 구성원으로서 총무, 기획, 인사, 경리, 재무, 영업, 마케팅 등 회사의 전 부서에서 수행하는 업무에 응용하여 적용.현장에서 필요로 하고 직접 활용할 수 있는 문제의 출제로 문서작성능력, 각종 값의 계산, 프리젠테이션, 데이터베이스, 인터넷 등 정보기술을 활용하여 현업 생산성의 제고를 도모."	공인	Y
2016-07-27	등록완료	산업통상자원부	"""2016-003868"	냉매취급관리사	등급없음	한국냉동공조산업협회	"기후변화협약(몬트리올의정서 등)에 따라 지구온난화물질인 냉매를 취급(누출,검출,충전,운반 등)하는 일로써 대형건물의 냉방기 또는 에어컨 등에 사용되는 냉매를 회수하거나 충전하여 냉동공조기기를 운영관리하는 업무를 수행한다."	"[등급없음]기후변화협약(몬트리올의정서 등)에 따라 지구온난화물질인 냉매를 취급(누출,검출,충전,운반 등)하는 일로써 대형건물의 냉방기 또는 에어컨 등에 사용되는 냉매를 회수하거나 충전하여 냉동공조기기를 운영관리하는 업무를 수행한다."	공인	Y
2010-12-01	등록완료	농림축산식품부	"""2010-0471"	농어촌개발컨설턴트	등급없음	한국농어촌공사	"농어촌지역발전을 도모하기 위한 조사, 지역계획수립, 지역개발컨설팅 등의 업무수행을 위한 전문인재로서 농어촌지역개발관련 전문지식 서비스를 제공할 수 있는 능력을 측정, 인증하는 자격제도입니다."	"[등급없음]농어촌지역사회에 대한 이해를 바탕으로 환경적으로 건전하고 경제적으로 활력있는 지속가능한 농어촌발전을 도모하기 위한 조사, 지역계획수립, 지역개발 컨설팅 등의 업무수행"	공인	Y
2011-12-26	등록완료	과학기술정보통신부	"""2011-0771"	SQL	"전문가,개발자"	재단법인 한국데이터산업진흥원	"데이터베이스 개발 및 사용의 필수 언어인 SQL(Structured Query Language)의 기본지식 및 활용능력을 검증하고 자격을 부여함*SQL 전문가데이터베이스와 데이터모델링에 대한 지식을 바탕으로 데이터를 조작하고 추출하는데 있어서 정확하고 최적의 성능을 발휘하는 SQL을 작성할 수 있고, 이를 토대로 SQL을 내포하는 데이터베이스 프로그램이나 응용 소프트웨어의 성능을 최적화하거나, 이러한 성능 최적화를 지원할 수 있는 데이터베이스 개체(뷰, 인덱스 등)의 설계와 구현 등의 직무 수행 능력 검증*SQL 개발자데이터베이스와 데이터모델링에 대한 지식을 바탕으로 데이터를 조작하고 추출하는데 있어서 정확하고 최적의 성능을 발휘하는 SQL 작성 등의 직무 수행 능력 검증"	"[전문가]데이터를 조작하고 추출하는데 있어서 정확하고 최적의 성능을 발휘하는 SQL을 작성할 수 있고, 이를 토대로 SQL을 내포하는 데이터베이스 프로그램이나 응용 소프트웨어의 성능을 최적화 하거나, 이러한 성능 최적화를 지원할 수 있는 데이터베이스 개체(뷰, 인덱스 등)의 설계와 구현 등의 직무를 수행[개발자]데이터베이스와 데이터 모델링에 대한 지식을 바탕으로 응용 소프트웨어를 개발하면서 데이터를 조작하고 추출하는데 있어서 정확하고 최적의 성능을 발휘하는 SQL을 작성하는 직무를 수행"	공인	Y
2008-08-27	등록완료	교육부	"""2008-0392"	브레인트레이너	단일등급	국제뇌교육종합대학원대학교	두뇌를 계발하고 활용할 수 있도록 지도·관리할 수 있는 능력을 검정	"[단일등급]학습, 기억, 감정, 의식 등 두뇌의 고등인지 기능에 대한 이해를 바탕으로 체험적 교육방법을 통해 피교육자 스스로 자신의 두뇌를 계발하고 활용할 수 있도록 지도·관리하는 것"	공인	Y
2008-07-28	등록완료	과학기술정보통신부	"""2008-0268"	리눅스마스터	"1급,2급"	한국정보통신진흥협회	"리눅스마스터 자격은 국내 리눅스 시장 활성화에 따른 전문 인력에 대한 객관적인 평가 기준을 마련하고 현장성과 전문성을 갖춘 리눅스 기술인력을 양성하기 위해 마련된 자격이다. 리눅스 기반의 Desktop 활용 및 서버운영 능력, 리눅스 시스템의 설계개발 및 관리 능력, 리눅스 기반의 네트워크 및 구축운영 능력 등을 평가하고 있다. 리눅스마스터 1급은 리눅스 시스템을 기반으로 웹, DNS, 메일, 파일 등 서버 구성 및 운영관리와 네트워크 및 보안 운영관리의 업무를 담당하는 시스템관리자 능력을 평가 검정한다. 또한 리눅스마스터 2급은 리눅스 시스템을 활용한 명령어 사용 및 관련 프로그램을 사용할 수 있는 사용자 기능을 평가 검정한다."	"[1급]리눅스에 대한 전반적인 지식과 기초실무능력을 바탕으로 리눅스 Destop활용, 리눅스 기반의 서버 시스템, 네트워크 및 보안 관리자 수준[2급]리눅스에 대한 전반적인 지식과 기초실무능력을 바탕으로 리눅스 Destop활용, 리눅스 기반의 서버 시스템, 네트워크 및 보안 관리자 수준"	공인	Y
2021-10-28	등록완료	해양수산부	"""2021-005432"	스마트해상물류관리사	단일등급	울산항만공사	"물류지식과 ICT지식을 활용하여 스마트 항만, 자율운항선박, 해상통신 등 스마트 해상물류 관련 사무ㆍ경영ㆍ컨설팅 업무를 수행하는 것을 직무내용으로 한다."	"[단일등급]물류지식과 ICT지식을 활용하여 스마트 항만, 자율운항선박, 해상통신 등 스마트 해상물류 관련 사무ㆍ경영ㆍ컨설팅 업무를 수행하는 것을 직무내용으로 한다."	공인	Y
2008-07-28	등록완료	교육부	"""2008-0120"	한자·한문지도사	"한자·한문특급,한자·한문1급,한자·한문2급,한자·한문3급"	(사)한자교육진흥회	방과후학교 및 평생교육기관을 비롯한 정규학교 이외의 교육기관에서 한자한문교육을 통해 올바른 인성예절교육을 지도하고 전통문화 전수의 직무를 담당할 수 있는지를 검정	"[한자·한문특급]한자한문교육에 관한 전문지식을 갖추고, 교안작성, 교수 학습계획 수립, 수업의 진행, 평가, 사후관리 전반에 관한 직무를 수행하며, 한문교육의 고급과정으로 평생교육기관 등에서 성인 및 학생을 대상으로 사서를 포함한 한문교육 및 전통문화 전수의 직무를 수행함[한자·한문1급]한자한문교육에 관한 전문지식을 갖추고, 교안작성, 교수 학습계획 수립, 수업의 진행, 평가, 사후관리 전반에 관한 직무를 수행하며, 한문교육의 중급과정으로 성인 및 청소년 등을 대상으로 체계적인 한문교육 및 인성·예절교육을 담당하는 직무를 수행함[한자·한문2급]한자한문교육에 관한 전문지식을 갖추고, 교안작성, 교수 학습계획 수립, 수업의 진행, 평가, 사후관리 전반에 관한 직무를 수행하며, 한문교육의 초급과정으로 초중학교 방과후 학교 및 주민 자치센터 등에서 아동과 청소년을 대상으로 체계적인 한문교육 및 인성예절교육을 담당하는 직무를 수행함[한자·한문3급]한자한문교육에 관한 기초지식을 갖추고, 교안작성, 교수 학습계획 수립, 수업의 진행, 평가, 사후관리 전반에 관한 직무를 수행하며, 한자교육 및 한문 기초과정으로 초등학교 방과후학교 및 주민자치센터 등에서 아동과 청소년을 대상으로 전문화된 한자교육을 담당하는 직무를 수행함"	공인	Y
2008-07-28	등록완료	보건복지부	"""2008-0033"	병원행정사	등급없음	(사)대한병원행정관리자협회	"병원도 대형화되면서 점차 분업화되고 세분화되고 있다. 일반 기업처럼 의료기관에서도 전문경영인을 고용하거나 인사, 회계, 교육이나 의료기기 및 약품 등의 자재관리까지 각 분야의 전문 지식을 갖춘 인재를 고용하고 있다. 병원행정사 자격은 세분화, 전문화가 이루어지고 있는 의료기관의 병원행정 관리부서에서 총무, 원무, 인사, 기획, 교육연수, 관리, 경리, 자재관리 등의 업무를 처리할 수 있는 능력을 검정한다."	"[등급없음]병원행정사는 병원행정관리부서에서 총무, 원무, 인사, 기획, 교육연수, 관리, 경리, 자재관리 등의 업무처리"	공인	Y
2011-12-26	등록완료	금융위원회	"""2011-0946"	개인보험심사역	등급없음	사단법인보험연수원	"보험업계에서 개인보험(장기연금보험, 자동차보험, 상해/질병/간병보험 등)심사 및 인수관련 업무를 담당하는 실무자 또는 책임자로써 갖추어야 할 능력을 검정하는 최고급 수준의 자격"	"[등급없음]개인보험(장기연금보험, 자동차보험, 상해/질병/간병보험 등)의 인수여부에 대한 보험사의 심사(Underwring)"	공인	Y
2011-12-26	등록완료	금융위원회	"""2011-0947"	기업보험심사역	등급없음	사단법인보험연수원	"보험업계에서 기업보험(재산보험, 특종보험, 배상책임보험, 해상보험 등)심사및 인수관련 업무를 담당하는 실무자 또는 책임자로써 갖추어야 할 능력을 검정하는 최고급 수준의 자격"	"[등급없음]기업보험(재산보험, 특종보험, 배상책임보험, 해상보험 등)상품의 인수여부에 대한 보험사의 심사(Underwriting)"	공인	Y
2008-07-28	등록완료	경찰청	"""2008-0146"	신변보호사	신변보호사	(사)한국경비협회	사회가 복잡하고 범죄사건이 증가함에 따라 민간경비 산업의 중요성과 필요성은 사회적으로 인식되고 있으며 사람의 생명이나 신체에 대한 위해의 발생을 방지하고 신변안전에 대하여 보호받고자 하는 국민의 안전 욕구를 충족시켜주기 위해서는 민간경비 종사자는 고도의 전문적 신뢰성과 더불어 전문적인 교육을 받아 전문직종에 종사하기 위해서는 그 사람의 능력정도를 객관적으로 검정하여 전문가를 배출하고 있다.	"[신변보호사]신변보호업무, 즉 사람의 생명이나 신체에 대한 위해의 발생을 방지 "	공인	Y
2008-07-28	등록완료	고용노동부	"""2008-0259"	전산세무회계	"전산세무1급,전산세무2급,전산회계1급,전산회계2급"	한국세무사회	세무 및 회계업무를 전산세무회계 프로그램을 사용하여 수행할 수 있는 능력을 객관적으로 검증함	"[전산세무1급]대학 졸업수준의 재무회계와 원가관리회계, 세무회계(법인세, 소득세, 부가가치세)에 관한 지식을 갖추고, 기업체의 세무회계 관리자로서 전산세무회계프로그램을 활용한 세무회계 전분야의 실무업무를 완벽히 수행할 수 있는지에 대한 능력을 평가함[전산세무2급]전문대학 졸업수준의 재무회계와 원가회계, 세무회계(소득세, 부가가치세)에 관한 지식을 갖추고, 기업체의 세무회계 책임자로서 전산세무회계프로그램을 활용한 세무회계 전반의 실무처리 업무를 수행할 수 있는지에 대한 능력을 평가함[전산회계1급]전문대학 중급수준의 회계원리와 원가회계, 세무회계(부가가치세 중 매입매출전표와 관련된 부분)에 관한 기본적 지식을 갖추고, 기업체의 회계실무자로서 전산세무회계프로그램을 활용한 세무 회계 기본업무를 처리할 수 있는지에 대한 능력을 평가함[전산회계2급]대학 초급 또는 고등학교 상급수준의 재무회계(회계원리)에 관한 기본지식을 갖추고 기업체의 세무회계 업무보조자로서, 전산회계 프로그램을 이용한 회계업무 처리능력을 평가함"	공인	Y
2008-12-30	등록완료	행정안전부	"""2008-0509"	옥외광고사	단일등급	한국옥외광고협회중앙회	"수많은 건물에 나열되어 있는 많은 점포들 사이에서 자신의 개성을 담아 점포의 업종을 나타내고 이미지를 표현하는데 간판의 역할은 매우 중요하다. 옥외광고사 자격은 각종 간판, 현수막, 벽보, 전단 등의 기타 이와 유사한 옥외광고물을 디자인, 설계, 제작 및 설치하는 업무를 수행하는 능력을 검정한다. 현재 옥외광고사 2급만 시행하고 있으며, 단일 등급으로의 운영을 검토중에 있다."	"[단일등급]옥외광고물의 안전관리 및 기획,조사,설계 및 시공"	공인	Y
2008-12-30	등록완료	기획재정부	"""2008-0436"	"외환전문역I,II종"	등급없음	(사)한국금융연수원	"수많은 나라들과 물건을 사고 팔며 사업 또는 예행을 위해 빈번한 교류를 하고 있는 글러벌 시대에 외환업무는 매우 중요하나 복잡하고 어려운 일이다. 외환전문역(CFES)은 금융기관에서 외환관련 금융 업무를 담당하는 자 또는 담당예정자의 능력을 검정하는 시험이다. 이 자격은 I, II종으로 구분되며, 외환전문역 I종은 금융기관의 외환업무 중 외국환 법규의 이해, 외환관련 금융상품 판매와 고객의 외화 자산에 노출되는 가종 외환 리시크를 최소화시키는 등 개인금융 관련 업무를 담당할 수 있는 능력을 측정한다. 반면 외환전문역 II종은 외환업무 중 수출입 관련 업무와 무역금융, 외화대출 및 외화지급보즌, 신용장업무 등과 같은 기업금융과 관련 업무를 담당할 수 있는 능력을 검정한다."	[등급없음]개인 및 기업고객의 외환거래 및 자산을 효율적으로 관리하기 위한 이론과 기법을 습득하여 실제업무에 적용이 가능할 수 있는 능력을 배양	공인	Y
2011-03-23	등록완료	보건복지부	"""2011-0183"	보행지도사	등급없음	(사)한국시각장애인연합회	"시각장애인에게 보행을 지도할 수 있는 전문가들을 양성하기 위한 교육이 이루어지고 있으며, 보행지도를 행할 수 있는 수준을 검증하기위한 필기시험을 실시하고 있음."	[등급없음]보행지도사는 시각장애인이 안전하고 독립적으로 보행할 수 있도록 지도하는 것을 주된 직무로 하며 다음과 같은 역할을 수행할 수 있음.  - 시각장애인의 재활상담 - 눈의 구조 및 안과질환의 이해 - 시각장애의 기초지식 및 점자의 이해 - 보행이론의 이해 - 일상생활훈련 지도 - 보행훈련 지도	공인	Y
2010-02-17	등록완료	산업통상자원부	"""2010-0071"	시스템에어컨설계시공관리사	등급없음	한국냉동공조산업협회	시스템에어컨을 적용하여 건물 용도에 맞는 쾌적한 냉난방 환경을 제공하고 전자 제어기를 융합한 에너지 절약 설계 및 사용자 편의성을 고려한 시스템에어컨의 설계 시공 및 유지관리를 할 수 있는 능력을 검정	"[등급없음]부하계산, 냉매배관, 기종선정 등의 설비설계를 통하여 건축물의 신축 또는 개보수와 함께 설치되며, 용량이 자동으로 제어되는 실외기와 부하특성이 상이한 복수의 실내기가 연결되는 냉방 또는 냉난방용 공기조화가장치를 설계, 시공 및 관리하는 직무"	공인	Y
2008-12-30	등록완료	금융위원회	"""2008-0438"	신용분석사	등급없음	(사)한국금융연수원	"신용분석사(CCA:Certified Credit Analyst)는 금융기간의 여신 관련 부서에서 기업에 대한 회계 및 비회계 자료분석을 통하여 종합적인 신용상황을 판단하고, 신용등급을 결정하는 등 기업신용 평가업무를 담당하는 금융전문가이다. 이에 신용분석사 자격증은 기본적인 회계지식은 물론 재무분석, 현금흐름분석 등 신용분석에 필ㅇ한 지식과 종합적인 신용평가를 할 수 있는 실무처리 능력을 검정한다."	[등급없음]기업에 대한 재무 및 현금흐름 등 종합적인 신용상황을 판단하고 신용등급을 결정	공인	Y
2008-12-30	등록완료	금융위원회	"""2008-0442"	신용위험분석사(CRA)	등급없음	(사)한국금융연수원	"신용사회에선 개인이건 기업이건 신용관리를 철저히 하는 것이 금융거래 시 매우 유리하다. 신용위험분석사(CRA:Credit Risk Analyst)는 금융회사 및 기업신용평가기관 등에서 개인과 기업에 대한 신용상태를 조사,평가하고 신용위험을 측정,관리하는 여신전문가이다. 이에 신용위험분석사 자격증은 개인과 기업에 대한 신용조사 및 분석과 이에 관련된 리스크 측정 및 관리, 여신실행과 사후관리, 기타 각종 지표분석을 통한 기업가치분석, 사업전망 예측 등에 대한 전문지식과 경험을 갖추었는지 등을 검정한다."	"[등급없음]개인과 기업에 대한 신용상태를 조사, 평가하고 신용위험을 측정·관리"	공인	Y
2008-07-28	등록완료	과학기술정보통신부	"""2008-0043"	PC Master(정비사)	등급없음	(사)한국정보평가협회	"어른, 아이 할 것 없이 컴퓨터를 많이 사용하지만 고장 시 그 원인을 알고 수리하기는 어려운일이다. PC정비사 및 PC Master(정비사) 자격은 컴퓨터 전반에 관한 시스템과 하드웨어 지식을 바탕으로 PC시스템 구성 및 설치, 유지보수, 기본적인 네트워크 설치 및 활용 등이 가능한지를 평가한다. 또한 사용자의 요구를 분석하여 그에 맞는 컴퓨터 관련 정보를 제공하고, 이상이 있는 컴퓨터의 문제점을 파악해 이를 보수하거나 하드웨어를 업그레이드시키는 등의 컴퓨터 관련 전반적인 관리능력을 검정한다."	"[등급없음]PC에 대한 전문 지식과 기능을 가지고  PC의 시스템구성 및 설치, 유지보수(고장수리, 소프트웨어 오류의 원인 분석 및 해결, 시스템최적화, 업그레이드), 기본적인 네트워크 설치 및 활용에 관한 업무와 사용자  의 요구를 분석하여 사용자의 요구에 맞는 정보를 제공하고, 사용자의 PC를 관리하는 업무를 수행한다."	공인	Y
2008-07-28	등록완료	과학기술정보통신부	"""2008-0213"	PC정비사	"1급,2급"	(사)한국정보통신자격협회	"어른, 아이 할 것 없이 컴퓨터를 많이 사용하지만 고장 시 그 원인을 알고 수리하기는 어려운일이다. PC정비사 및 PC Master(정비사) 자격은 컴퓨터 전반에 관한 시스템과 하드웨어 지식을 바탕으로 PC시스템 구성 및 설치, 유지보수, 기본적인 네트워크 설치 및 활용 등이 가능한지를 평가한다. 또한 사용자의 요구를 분석하여 그에 맞는 컴퓨터 관련 정보를 제공하고, 이상이 있는 컴퓨터의 문제점을 파악해 이를 보수하거나 하드웨어를 업그레이드시키는 등의 컴퓨터 관련 전반적인 관리능력을 검정한다."	"[1급]  - 고객 요구사항 파악 - 수리 대상 PC 환경 분석 - PC기기 기술발전/분석 - PC환경 구축 개선 계획 수립제안 - 작업일정 공정표 작성 - 관련 부품 진단/분석 - 관련 장비 검토/분석 - 현장고객 요구사항 설계 - 설치계획 수립 - 관련 PC의 H/W, S/W 장비 검수[2급] - 고객 요구사항 파악 - 수리 대상 PC 환경 분석 - PC기기 기술발전/분석 - PC환경 구축 개선 계획 수립제안 - 작업일정 공정표 작성 - 관련 부품 진단/분석 - 관련 장비 검토/분석 - 현장고객 요구사항 설계 - 설치계획 수립 - 관련 PC의 H/W, S/W 장비 검수"	공인	Y
2008-12-30	등록완료	산업통상자원부	"""2008-0641"	지역난방설비관리사	등급없음	(사)한국에너지기술인협회	"열병합 설비에 의한 지역난방 공급시설은 국가적인, 그리고 미래지향적인 에너지 보급시스템이다. 급속한 산업화 속에서 에너지 저감과 공해문제를 해결해 주는 지역난방시설 보급에 정부의 활발한 투자와 시책이 추진되고 있으며, 이러한 시류에 발맞추어 에너지전문가 양성을 위해 지역난방설비관리사 자격은 지역난방설비에 대한 이해 능력과 지역난방시설의 유지 및 관리능력을 검정한다."	[등급없음]지역난방 설비에 대한 관리 및 유지보수 	공인	Y
2021-06-08	등록완료	개인정보보호위원회	"""2021-002652"	영상정보관리사	단일등급	(사)한국정보통신자격협회	영상정보처리기기에서 수집되는 영상정보의 관리 및 보호에 필요한 지식과 기술을 바탕으로 영상정보를 모니터링하고 보호하는 일이다.	[단일등급]영상정보처리기기에서 수집되는 영상정보의 관리 및 보호에 필요한 지식과 기술을 바탕으로 영상정보를 모니터링하고 보호하는 일이다.	공인	Y
2008-12-30	등록완료	기획재정부	"""2008-0425"	원가분석사	등급없음	(사)한국원가관리협회	원가관련전문기관에서 원가계산업무의 수행능력을 검정	[등급없음]원가관련전문기관에서 원가계산업무의 수행능력을 검정	공인	Y
2021-01-21	등록완료	과학기술정보통신부	"""2021-000289"	지능형홈관리사	단일등급	(사)한국정보통신자격협회	"인공지능과 사물인터넷, 네트워크 등 지능형홈에 관한 이론지식과 숙련기능을 바탕으로 지능형홈 환경 구현을 위한 시스템을 일반적인 권한 내에서 설계·구축·운용하는 직무이다."	"[단일등급]인공지능과 사물인터넷, 네트워크 등 지능형홈에 관한 이론지식과 숙련기능을 바탕으로 지능형홈 환경 구현을 위한 시스템을 일반적인 권한 내에서 설계·구축·운용하는 직무이다."	공인	Y
2009-05-19	등록완료	경찰청	"""2009-0002"	도로교통사고감정사	등급없음	한국도로교통공단	"자동차가 증가하고 사회가 복작해지면서 교통사고는 빈번하게 발생하고 있다. 사고의 원인과 가해자 및 피해자의 상황을 명확히 규명하는 것이 중요한데 교통사고는 예상치 못하게 발생되기 때문에 이러한 원인규명이 쉬운 일은 아니다. 도로교통사고감정사 자격은 도로상에서 발생하는 교통사고를 조사,재현하여 과학적으로 분석하고 정확한 발생 원인을 규명할 수 있는 능력을 검정한다. 이를 통해 교통사고 조사의 과학적 분석능력 배양, 사고조사의 정확한 발생원인을 규명하고, 교통사고 당사자간의 분쟁을 최소화하기 위해 도로교통사고감정 전문가를 배출하고 있다."	"[등급없음]국내 도로상에서 발생하는 교통사고의 조사, 교통관련법규에 대한 이해, 교통사고의 정확한 원인 규명 및 과학적 해석, 교통사고의 재현, 교통사고에 대한 감정서(분석서) 작성"	공인	Y
2008-12-30	등록완료	금융위원회	"""2008-0441"	자산관리사(FP)	등급없음	(사)한국금융연수원	"자산이 많은 부유층이 아니더라도 결혼이나 교육, 노후 등을 고려하여 일생동안의 자산관리를 계획하는 사람들이 증가하고 있다. 자산을 어떻게 관리해야 하는지 조언하기 위해서는 주식이나 예금, 부동산, 보험, 세무 등 다양한 분야의 지식이 요구된다.자산관리사(FP:Financial Planner)는 금융기관 영업부서의 재테크팀, 또는 개인자산관리(PB:Financial Banking)팀에서 고객의 수입과 지출, 자산 및 부채현황, 가족상황 등 고객에 대한 각종 자료를 수집, 분석하여 고객이 원하는 Life Plan상의 재무목표를 달성할 수 있도록 종합적인 자산설계에 대한 상담과 실행을 지원할 수 있는 실무처리 능력을 검정한다."	"[등급없음]고객의 수입과 지출, 자산, 부채현황 등 고객에 대한 자료를 수집·분석하여 고객이 원하는 Life Plan상의 재무목표를 달성할 수 있도록 종합적인 자산설계를 위한 최적의 컨설팅 업무 수행"	공인	Y
2008-07-28	등록완료	국토교통부	"""2008-0101"	실내디자이너	등급없음	(사)한국실내건축가협회	전문실내디자이너로서의 자격요건 검증	[등급없음]실내설계 및 감리	공인	Y
2008-12-30	등록완료	행정안전부	"""2008-0506"	정보시스템감리사	등급없음	한국지능정보사회진흥원	"정보시스템의 부실방지와 품질향상을 위해 정보시스템의 계획, 개발, 운영, 유지 보수에 관한 제반 절차 및 산출물을 종합적으로 점검,평가하여 이해 관계자들에게 개선이 필요한 사항을 조정,권고하는 전문지식과 능력을 검정한다."	"[등급없음]정보시스템의 부실방지와 품질향상을 위해 정보시스템의 계획, 개발, 운영, 유지 보수에 관한 제반 절차 및 산출물을 종합적으로 점검·평가하여 이해 관계자들에게 개선이 필요한 사항을 조정·권고하는 직무"	공인	Y
